Name,Industry,VAT number,Affiliate advertiser ID,External ID,Labels
2006 GRANIITTI LKV OY37863,,FI20331333,37863,,
24 Housing Oy29141,,FI17496575,29141,,
2H CAFE & CATERING OY57254,,FI19344671,57254,,
3d arts´n magic Oy26202,,FI16202061,26202,,
3dolli Oy32083,,FI19300943,32083,,
3GREN Oy52659,,FI23413705,52659,,
3H Distribution Oy53795,,FI23999793,53795,,
3Step IT Group Oy54959,,FI20875904,54959,,
4finance Oy51865,,FI22575454,51865,,
4Safe Oy32163,,FI10317394,32163,,
4TS Corporation Oy33248,,FI17502840,33248,,
6022 Trading Oy56135,,FI24407390,56135,,
8-Caravan Oy55382,,FI20843195,55382,,
A & E City Clean Oy Ab36264,,FI10425117,36264,,
A & H Ouvinen Oy51302,,FI9937385,51302,,
A & K Finland Oy52115,,FI19320282,52115,,
A A A - ABOADENT OY57186,,FI19399787,57186,,
A to B Finland Oy53974,,FI23307726,53974,,
A&A Niemitalo Oy53775,,FI14853362,53775,,
A&H Koskela ky53057,,FI20945618,53057,,
A&R Sveholm Oy57948,,FI17677966,57948,,
A. Kaakinen Oy54506,,FI1853339,54506,,
A. Ollakka Oy27328,,FI19925708,27328,,
A. Paavilainen Oy56434,,FI9127163,56434,,
A. Vogel Oy5010,,FI1159478,5010,,
A1 Media Oy34287,,FI17537533,34287,,
AAA Marketing Oy56473,,FI19808819,56473,,
Aabel Safiiri Oy34912,,FI10588506,34912,,
AA-Kalusto Oy55443,,FI22398224,55443,,
Aallon Kaluste Oy54994,,FI6229834,54994,,
Aallon Leipomo Oy55651,,FI15936485,55651,,
Aalto Group Oy35786,,FI17022863,35786,,
Aalto-korkeakoulusäätiö 1447214472,,FI22283574,14472,,
Aalto-korkeakoulusäätiö 5259752597,,FI22283574,52597,,
Aaltoravintola Oy55259,,FI10483421,55259,,
Aaltovoima Oy54688,,FI19486506,54688,,
Aarikka Oy1008,,FI5322236,1008,,
Aarno Niemi Oy50725,,FI21008095,50725,,
Aaro Forsman Oy33300,,FI6906903,33300,,
Aasa Oy55947,,FI23260438,55947,,
AATELI REMONTIT OY54295,,FI20296283,54295,,
Aava & Bang Oy34098,,FI19638848,34098,,
Aavasaksan Vesi Oy32719,,FI19246537,32719,,
Ab Chipsters Food Oy37031,,FI1095750,37031,,
Ab Connectare Oy33977,,FI17184010,33977,,
Ab Forum Capita Oy37280,,FI1152890,37280,,
Ab H. Höglund Oy22325,,FI2166354,22325,,
Ab Hur Oy54412,,FI20147165,54412,,
Ab Kentso Oy55511,,FI5846574,55511,,
Ab Korv-Görans Kebab Oy53541,,FI20276178,53541,,
Ab Kristina Kök36888,,FI7226918,36888,,
Ab Liga JARO Oy 5530255302,,FI18243684,55302,,
Ab Liga JARO Oy 5535355353,,FI18243684,55353,,
Ab Lindell Flowers Oy55318,,FI1790761,55318,,
Ab LL International Oy57266,,FI17900208,57266,,
Ab Pen & Hammer Oy54694,,FI21828106,54694,,
Ab PST event Oy50453,,FI22581360,50453,,
Ab Sports Gym Wasa Oy24723,,FI8855214,24723,,
Ab Steelstudio Oy51570,,FI16403592,51570,,
Ab Tallqvist Oy54527,,FI92103145,54527,,
Abbott Oy32775,,FI8031514,32775,,
Abelita Oy36107,,FI20908550,36107,,
Aberdeen Asset Management Finland Oy 3301833018,,FI16044745,33018,,
Aberdeen Asset Management Finland Oy 3317433174,,FI16044745,33174,,
ABL Finland Oy34041,,FI14555410,34041,,
ABLOY OY 89188918,,FI7743245,8918,,
Abloy Oy 1131811318,,FI7743245,11318,,
AC Kaisa Sotisaari56723,,FI23352463,56723,,
Acacom Media Oy36114,,FI16082864,36114,,
acati oy52960,,FI19034753,52960,,
Accenture Oy13292,,FI7181668,13292,,
Accessories Finland Oy55839,,FI15999179,55839,,
Accountor Holding Oy32223,,FI24803369,32223,,
Acer Finland Oy33047,,FI10679918,33047,,
ACO Pharma Oy33111,,FI17636494,33111,,
Acon Finland Oy Ltd33835,,FI8968737,33835,,
Actavis Oy1041,,FI16571502,1041,,
Active People Oy33064,,FI9392397,33064,,
Activeark Oy38311,,FI18199601,38311,,
Acushnet Sverige Aktiebolag - filial i Finland51717,,FI22498356,51717,,
AD FIN Oy 2034220342,,FI5549430,20342,,
AD FIN Oy 3494934949,,FI5549430,34949,,
Adara Pakkaus Oy54474,,FI14738751,54474,,
Adato Energia Oy37491,,FI7471120,37491,,
Add Value Research Finland Oy53992,,FI17089136,53992,,
